ZIP,CBSA,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
2093,14454,1,1,1,1
2108,14454,1,1,1,1
2109,14454,1,1,1,1
2110,14454,1,1,1,1
2111,14454,1,1,1,1
2112,14454,1,1,1,1
2113,14454,1,1,1,1
2114,14454,1,1,1,1
2115,14454,1,1,1,1
2116,14454,1,1,1,1
2117,14454,1,1,1,1
2118,14454,1,1,1,1
2119,14454,1,1,1,1
2120,14454,1,1,1,1
2121,14454,1,1,1,1
2122,14454,1,1,1,1
2123,14454,1,1,1,1
2124,14454,1,1,1,1
2125,14454,1,1,1,1
2126,14454,1,1,1,1
2127,14454,1,1,1,1
2128,14454,1,1,1,1
2129,14454,1,1,1,1
2130,14454,1,1,1,1
2131,14454,1,1,1,1
2132,14454,1,1,1,1
2133,14454,0,1,1,1
2134,14454,1,1,1,1
2135,14454,1,1,1,1
2136,14454,1,1,1,1
2137,14454,1,1,1,1
2138,15764,1,1,1,1
2139,15764,1,1,1,1
2140,15764,1,1,1,1
2141,15764,1,1,1,1
2142,15764,1,1,1,1
2143,15764,1,1,1,1
2144,15764,1,1,1,1
2145,15764,1,1,1,1
2148,14454,0.005759182,0.001205546,0.022157996,0.006086596
2148,15764,0.994240818,0.998794454,0.977842004,0.993913404
2149,15764,1,1,1,1
2150,14454,0.999429631,0.959470637,1,0.996488202
2150,15764,0.000570369,0.040529363,0,0.003511798
2151,14454,0.985625343,0.99829932,0.996798292,0.986684476
2151,15764,0.014374657,0.00170068,0.003201708,0.013315524
2152,14454,1,1,1,1
2155,15764,1,1,1,1
2163,14454,1,1,1,1
2169,14454,1,1,1,1
2170,14454,1,1,1,1
2171,14454,1,1,1,1
2176,15764,1,1,1,1
2180,15764,1,1,1,1
2184,14454,1,1,1,1
2185,14454,1,1,1,1
2186,14454,1,1,1,1
2188,14454,1,1,1,1
2189,14454,1,1,1,1
2190,14454,1,1,1,1
2191,14454,1,1,1,1
2196,14454,1,1,1,1
2199,14454,1,1,1,1
2201,14454,0,1,1,1
2203,14454,1,1,1,1
2205,14454,1,1,1,1
2210,14454,1,1,1,1
2215,14454,1,1,1,1
2217,14454,0,1,1,1
2222,14454,0,1,1,1
2238,15764,1,1,1,1
2269,14454,1,1,1,1
2301,14454,1,1,1,1
2302,14454,1,1,1,1
2303,14454,1,1,1,1
2304,14454,1,1,1,1
2305,14454,1,1,1,1
2322,14454,1,1,1,1
2324,39300,0.001470434,0,0,0.001337281
2324,14454,0.998529566,1,1,0.998662719
2325,14454,0,1,0,1
2327,14454,1,1,1,1
2330,14454,1,1,1,1
2331,14454,1,1,1,1
2332,14454,1,1,1,1
2333,14454,1,1,1,1
2334,39300,1,1,1,1
2337,14454,0,0,1,1
2338,14454,1,1,1,1
2339,14454,1,1,1,1
2341,14454,1,1,1,1
2343,14454,1,1,1,1
2344,14454,0,1,0,1
2345,14454,1,1,1,1
2346,14454,1,1,1,1
2347,39300,0.000453412,0.012383901,0.0125,0.001454092
2347,14454,0.999546588,0.987616099,0.9875,0.998545908
2348,14454,0,1,0,1
2349,14454,0,1,0,1
2350,14454,1,0,1,1
2351,14454,1,1,1,1
2355,14454,0,1,0,1
2356,14454,0.001556723,0,0,0.001397136
2356,39300,0.998443277,1,1,0.998602864
2357,39300,0,1,0,1
2358,14454,0,0,1,1
2359,14454,1,1,1,1
2360,12700,0.00023649,0,0,0.000211469
2360,14454,0.99976351,1,1,0.999788531
2361,14454,1,1,1,1
2362,14454,1,1,1,1
2364,14454,1,1,1,1
2366,14454,0,0,1,1
2367,14454,1,1,1,1
2368,14454,1,1,1,1
2370,14454,1,1,1,1
2375,39300,1,0.994878361,1,0.999351597
2375,14454,0,0.005121639,0,0.000648403
2379,14454,1,1,1,1
2381,14454,0,0,1,1
2382,14454,1,1,1,1
2420,15764,1,1,1,1
2421,15764,1,1,1,1
2445,14454,1,1,1,1
2446,14454,1,1,1,1
2447,14454,1,1,1,1
2451,15764,1,1,1,1
2452,15764,1,1,1,1
2453,15764,1,1,1,1
2454,15764,1,1,1,1
2455,15764,1,1,1,1
2458,15764,1,1,1,1
2459,15764,1,1,1,1
2460,15764,1,1,1,1
2461,15764,1,1,1,1
2462,15764,1,1,1,1
2464,15764,1,1,1,1
2465,15764,1,1,1,1
2466,15764,1,1,1,1
2467,15764,0.306623058,0.601369863,0.279778393,0.331000119
2467,14454,0.693376942,0.398630137,0.720221607,0.668999881
2468,15764,1,1,1,1
2471,15764,1,1,1,1
2472,15764,1,1,1,1
2474,15764,1,1,1,1
2476,15764,1,1,1,1
2477,15764,0,1,0,1
2478,15764,1,1,1,1
2481,14454,1,1,1,1
2482,14454,1,1,1,1
2492,14454,1,1,1,1
2493,15764,1,1,1,1
2494,14454,1,1,1,1
2532,12700,0.806585678,0.975460123,0.936305732,0.821501014
2532,14454,0.193414322,0.024539877,0.063694268,0.178498986
2534,12700,1,0,1,1
2535,47240,1,1,1,1
2536,12700,1,1,1,1
2537,12700,1,1,1,1
2538,14454,1,1,1,1
2539,47240,1,1,1,1
2540,12700,1,1,1,1
2541,12700,1,1,1,1
2542,12700,1,1,1,1
2543,12700,1,1,1,1
2552,47240,0,1,0,1
2553,12700,1,0,1,1
2554,99999,1,1,1,1
2556,12700,1,1,1,1
2557,47240,1,1,1,1
2558,14454,0,0,1,1
2559,12700,1,1,1,1
2561,12700,0,1,1,1
2562,12700,1,1,1,1
2563,12700,1,1,1,1
2564,99999,0,0,1,1
2568,47240,1,1,1,1
2571,14454,1,1,1,1
2574,12700,1,1,1,1
2575,47240,1,1,1,1
2576,14454,1,1,1,1
2584,99999,1,1,1,1
2601,12700,1,1,1,1
2630,12700,1,1,1,1
2631,12700,1,1,1,1
2632,12700,1,1,1,1
2633,12700,1,1,1,1
2634,12700,1,1,1,1
2635,12700,1,1,1,1
2637,12700,1,1,1,1
2638,12700,1,1,1,1
2639,12700,1,1,1,1
2641,12700,0,0,1,1
2642,12700,1,1,1,1
2643,12700,0,0,1,1
2644,12700,1,1,1,1
2645,12700,1,1,1,1
2646,12700,1,1,1,1
2647,12700,1,1,1,1
2648,12700,1,1,1,1
2649,12700,1,1,1,1
2650,12700,1,1,1,1
2651,12700,0,0,1,1
2652,12700,0,0,1,1
2653,12700,1,1,1,1
2655,12700,1,1,1,1
2657,12700,1,1,1,1
2659,12700,1,1,1,1
2660,12700,1,1,1,1
2661,12700,1,1,1,1
2662,12700,1,1,1,1
2663,12700,0,0,1,1
2664,12700,1,1,1,1
2666,12700,1,0,1,1
2667,12700,1,1,1,1
2668,12700,1,1,1,1
2669,12700,1,1,1,1
2670,12700,1,1,1,1
2671,12700,1,1,1,1
2672,12700,1,1,1,1
2673,12700,1,1,1,1
2675,12700,1,1,1,1
2702,39300,1,1,1,1
2703,39300,1,1,1,1
2712,39300,1,1,1,1
2713,47240,0,0,1,1
2715,39300,1,1,1,1
2717,39300,1,1,1,1
2718,14454,0.00624025,0,0,0.005928122
2718,39300,0.99375975,1,1,0.994071878
2719,39300,1,1,1,1
2720,39300,1,1,1,1
2721,39300,1,1,1,1
2722,39300,1,1,1,1
2723,39300,1,1,1,1
2724,39300,1,1,1,1
2725,39300,1,1,1,1
2726,39300,1,1,1,1
2738,14454,1,1,1,1
2739,14454,1,1,1,1
2740,39300,1,1,1,1
2741,39300,1,1,1,1
2742,39300,1,1,1,1
2743,39300,1,1,1,1
2744,39300,1,1,1,1
2745,39300,1,1,1,1
2746,39300,1,1,1,1
2747,39300,1,1,1,1
2748,39300,1,1,1,1
2760,39300,1,1,1,1
2761,39300,1,1,1,1
2762,14454,1,1,1,1
2763,39300,1,1,1,1
2764,39300,1,1,1,1
2766,39300,1,1,1,1
2767,14454,0.001596594,0.001383126,0.012448133,0.001969399
2767,39300,0.998403406,0.998616874,0.987551867,0.998030601
2768,39300,0,0,1,1
2769,39300,1,1,1,1
2770,14454,0.998489426,1,1,0.998578031
2770,39300,0.001510574,0,0,0.001421969
2771,39300,1,1,1,1
2777,39300,1,1,1,1
2779,14454,0.012006861,0.031746032,0,0.012427506
2779,39300,0.987993139,0.968253968,1,0.987572494
2780,39300,1,1,1,1
2790,39300,1,1,1,1
2791,39300,0,0,1,1
2801,39300,0,0,1,1
2802,39300,0,0,1,1
2804,39300,1,1,1,1
2806,39300,1,1,1,1
2807,39300,1,0,1,1
2808,39300,1,1,1,1
2809,39300,1,1,1,1
2812,39300,1,1,1,1
2813,39300,1,1,1,1
2814,39300,1,1,1,1
2815,39300,1,1,1,1
2816,39300,1,1,1,1
2817,39300,1,1,1,1
2818,39300,1,1,1,1
2822,39300,1,1,1,1
2823,39300,0,0,1,1
2824,39300,0,0,1,1
2825,39300,1,1,1,1
2826,39300,1,1,1,1
2827,39300,1,1,1,1
2828,39300,1,1,1,1
2829,39300,0,0,1,1
2830,39300,1,1,1,1
2831,39300,1,1,1,1
2832,39300,1,1,1,1
2833,39300,1,1,1,1
2835,39300,1,1,1,1
2836,39300,1,1,1,1
2837,39300,1,1,1,1
2838,39300,1,1,1,1
2839,39300,1,1,1,1
2840,39300,1,1,1,1
2841,39300,0,1,1,1
2842,39300,1,1,1,1
2852,39300,1,1,1,1
2857,39300,1,1,1,1
2858,39300,1,1,1,1
2859,39300,1,1,1,1
2860,39300,1,1,1,1
2861,39300,1,1,1,1
2862,39300,1,1,1,1
